Возврат билетов,Возврат билетов,Билеттерді қайтару,Return of tickets
Дополнительно,Дополнительно,Қосымша,Additionally
Выберите счет,Выберите счет,Тіркелгіні таңдаңыз,Choose an account
Приятного,Приятного,Сүйкімді,Pleasant
полета!,полета!,Ұшу!,flight!
Номер бронирования,Номер бронирования,Броньдау нөмірі,Booking number
Напишите ваше впечатление,Напишите ваше впечатление,Өзіңіздің әсеріңізді жазыңыз,Write your impression
Отправить,Отправить,Жіберу,Send
Что дальше?,Что дальше?,Ары қарай не?,What's next?
"Ожидайте, билеты должны прийти вам на почту","Ожидайте, билеты должны прийти вам на почту","Күте тұрыңыз, билеттер сізге пошта арқылы келуі керек","Wait, tickets should come to you by mail"
Произошла ошибка,Произошла ошибка,Қате орын алды,An error has occurred
Информация по COVID-19,Информация по COVID-19,Ковид-19 туралы ақпарат,Information on Covid-19
Подтверждено,Подтверждено,Расталды,Confirmed
Выздоровело,Выздоровело,Қалпына келді,Recovered
Погибло,Погибло,Қайтыс болды,Died
Куда летим?,Куда летим?,Біз қайда ұшамыз?,Where are we flying?
Введите страну,Введите страну,Елге кіріңіз,Enter the country
Выбор пассажиров,Выбор пассажиров,Жолаушыларды таңдау,The choice of passengers
Контакты,Контакты,Байланыстар,Contacts
Мой телефон,Мой телефон,Менің телефоным,My phone
Моя электронная почта,Моя электронная почта,Менің электрондық поштам,My e-mail
Добавить пассажира,Добавить пассажира,Жолаушыны қосыңыз,Add the passenger
Выбрать,Выбрать,Таңдау,Choose
Взрослые,Взрослые,Ересектер,Adults
Дети,Дети,Балалар,Children
Младенцы,Младенцы,Сәбилер,Babies
Добавить эл. почту,Добавить эл. почту,Электрондық поштаны қосыңыз. почта,Add email. mail
Введите email,Введите email,Электрондық поштаны енгізіңіз,Enter email
Подтвердить,Подтвердить,Растау,Confirm
Продолжить,Продолжить,Жалғастыру,Continue
Детали рейса,Детали рейса,Ұшу туралы мәліметтер,Flight details
Стоимость,Стоимость,Баға,Price
Рассрочка,Рассрочка,Бөліп төлеу жоспары,Installment plan
"Минутку, мы собираем информацию","Минутку, мы собираем информацию","Минут, біз ақпарат жинаймыз","Minute, we collect information"
Пересадка,Пересадка,Ауыстыру,Transfer
Только туда,Только туда,Тек онда,Only there
Туда-обратно,Туда-обратно,Сол жерде және қайтадан,There and back again
Первый,Первый,Бірінші,First
Второй,Второй,Секунд,Second
рейс,рейс,ұшу,flight
Составной,Составной,Композитті,Composite
Скидка от Visa,Скидка от Visa,Виза жеңілдіктері,Visa discount
Цена со скидкой до 23% от тарифа при оплате картой Visa,Цена со скидкой до 23% от тарифа при оплате картой Visa,Visa картасымен төлеген кезде тарифтің 23% -на дейін жеңілдікпен баға,Price with a discount of up to 23% of the tariff when paying by a VISA card
Фамилия на латинице,Фамилия на латинице,Латын тіліндегі тегі,Surname in Latin
Новый пассажир,Новый пассажир,Жаңа жолаушы,New passenger
Редактировать,Редактировать,Редакциялау,Edit
Имя на латинице,Имя на латинице,Аты латын тілінде,The name is in Latin
Страна выдачи документа,Страна выдачи документа,Құжат берген ел,The country of issuing a document
Введите ИИН,Введите ИИН,IIN енгізіңіз,Enter Iin
Удалить пассажира,Удалить пассажира,Жолаушыны алыңыз,Remove the passenger
Сохранить,Сохранить,Жинау,Save
Пассажир старше,Пассажир старше,Жолаушы ескірген,Passenger older
лет,лет,жылдар,years
Пассажир младше,Пассажир младше,Жолаушы жас,Passenger younger
Такой пользователь существует,Такой пользователь существует,Мұндай пайдаланушы бар,Such a user exists
Сервисная ошибка,Сервисная ошибка,Қызмет қателігі,Service error
Этот пассажир не младенец,Этот пассажир не младенец,Бұл жолаушы бала емес,This passenger is not a baby
